Name,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,hemisphere
Kampot,10.62,104.18,80.6,83,75,6.93,KH,10/17/2020,north
Bodrum,37.04,27.43,73.4,72,40,4.7,TR,10/17/2020,north
Sinnamary,5.38,-52.95,80.6,82,47,10.6,GF,10/17/2020,north
Bay Roberts,47.6,-53.26,51.01,1,94,10.16,CA,10/17/2020,north
Banda Aceh,5.56,95.32,86.61,60,88,14.52,ID,10/17/2020,north
Mahuva,21.09,71.76,83.57,76,2,14.05,IN,10/17/2020,north
Russell,32.35,-85.2,60.8,67,1,6.82,US,10/17/2020,north
Calama,-22.47,-68.93,55.4,10,0,3.36,CL,10/17/2020,South
Hueytown,33.45,-87.0,57.2,67,0,4.7,US,10/17/2020,north
Simao,22.79,100.97,76.5,55,70,1.14,CN,10/17/2020,north
Dudinka,69.41,86.18,28.4,79,40,15.66,RU,10/17/2020,north
Egvekinot,66.32,-179.17,26.94,88,0,6.4,RU,10/17/2020,north
Longkou,37.65,120.33,64.22,49,0,10.42,CN,10/17/2020,north
Cockburn Town,21.46,-71.14,83.64,79,88,22.21,TC,10/17/2020,north
Kalengwa,-13.47,25.0,61.84,50,1,4.85,ZM,10/17/2020,South
Chenghai,23.46,116.77,77.0,61,28,4.47,CN,10/17/2020,north
Salalah,17.02,54.09,71.6,46,0,4.7,OM,10/17/2020,north
Puksoozero,62.59,40.61,31.46,97,86,8.99,RU,10/17/2020,north
Bien Hoa,10.95,106.82,80.6,88,75,12.75,VN,10/17/2020,north
Kalilangan,7.82,124.73,76.75,84,85,2.37,PH,10/17/2020,north
Moroni,-11.7,43.26,76.68,80,10,8.75,KM,10/17/2020,South
Rio Grande,-32.03,-52.1,66.99,87,100,1.01,BR,10/17/2020,South
Ekpoma,6.74,6.14,70.7,100,99,2.91,NG,10/17/2020,north
Shalya,57.25,58.73,30.24,95,98,7.54,RU,10/17/2020,north
Bantou,26.22,117.49,69.15,70,94,4.27,CN,10/17/2020,north
Brebes,-6.87,109.04,86.86,56,5,3.09,ID,10/17/2020,South
Zyryanka,65.75,150.85,29.46,94,94,4.85,RU,10/17/2020,north
Province of Vibo Valentia,38.7,16.13,57.2,93,71,4.7,IT,10/17/2020,north
Paris,48.85,2.35,45.0,93,47,2.24,FR,10/17/2020,north
Thunder Bay,48.4,-89.32,33.8,89,90,8.05,CA,10/17/2020,north
Eirunepé,-6.66,-69.87,75.25,87,100,1.5,BR,10/17/2020,South
Isangel,-19.55,169.27,76.64,58,0,12.3,VU,10/17/2020,South
Acará,-1.96,-48.2,73.17,96,24,3.31,BR,10/17/2020,South
Viseu,40.66,-7.91,48.0,92,59,3.71,PT,10/17/2020,north
Chapais,49.78,-74.85,30.2,86,1,4.7,CA,10/17/2020,north
Port Hedland,-20.32,118.57,87.8,31,0,16.11,AU,10/17/2020,South
Ahipara,-35.17,173.17,62.65,64,8,9.37,NZ,10/17/2020,South
Sabha,27.04,14.43,71.67,22,4,5.88,LY,10/17/2020,north
Tilichiki,60.47,166.1,36.01,76,0,2.3,RU,10/17/2020,north
Sakakah,29.97,40.21,64.4,27,0,4.7,SA,10/17/2020,north
Dauphin,51.15,-100.05,26.6,63,1,13.87,CA,10/17/2020,north
Bacolod City,10.67,122.95,85.73,71,50,7.45,PH,10/17/2020,north
Tumut,-35.3,148.22,64.85,60,13,9.53,AU,10/17/2020,South
Kiunga,-6.12,141.29,89.98,56,54,4.27,PG,10/17/2020,South
Koslan,63.46,48.9,32.27,96,100,9.15,RU,10/17/2020,north
Merrill,45.18,-89.68,42.8,93,90,5.82,US,10/17/2020,north
La Calera,-31.34,-64.34,80.01,73,1,8.05,AR,10/17/2020,South
Starkville,33.45,-88.82,57.2,76,1,6.29,US,10/17/2020,north
Gorontalo,0.54,123.06,79.47,82,100,0.89,ID,10/17/2020,north
Harper,4.38,-7.72,76.57,90,65,5.84,LR,10/17/2020,north
Lagoa,39.05,-27.98,61.66,61,33,13.44,PT,10/17/2020,north
Dalvik,65.97,-18.53,44.6,75,75,16.11,IS,10/17/2020,north
Paita,-5.09,-81.11,63.48,86,79,8.86,PE,10/17/2020,South
Sayyan,15.17,44.32,48.24,47,0,4.09,YE,10/17/2020,north
Çan,40.03,27.05,64.4,93,40,3.36,TR,10/17/2020,north
Kyzyl-Suu,42.34,78.01,48.79,45,0,2.39,KG,10/17/2020,north
Weiser,44.25,-116.97,60.8,41,1,8.05,US,10/17/2020,north
Shizukuishi,39.68,140.98,57.2,71,75,1.12,JP,10/17/2020,north
Port Augusta,-32.5,137.77,64.99,55,0,13.87,AU,10/17/2020,South
Sertã,39.81,-8.1,53.01,82,73,1.01,PT,10/17/2020,north
Fenoarivo,-18.93,47.44,60.8,87,75,5.82,MG,10/17/2020,South
Gladstone,-23.85,151.25,78.8,50,21,12.75,AU,10/17/2020,South
Straumen,63.87,11.3,45.0,80,75,41.38,NO,10/17/2020,north
Guerrero Negro,27.98,-114.06,73.08,72,27,11.05,MX,10/17/2020,north
Maniitsoq,65.42,-52.9,39.18,95,96,9.37,GL,10/17/2020,north
Marsh Harbour,26.54,-77.06,81.91,77,100,20.15,BS,10/17/2020,north
Tāndā,26.55,82.65,80.6,47,0,4.03,IN,10/17/2020,north
Havre-St-Pierre,50.23,-63.6,51.8,100,90,19.46,CA,10/17/2020,north
Nambour,-26.63,152.95,79.0,50,71,1.99,AU,10/17/2020,South
Matagami,49.75,-77.63,30.2,100,90,3.36,CA,10/17/2020,north
Verkhoyansk,67.54,133.38,20.07,95,100,5.86,RU,10/17/2020,north
Ol'ga,43.74,135.29,59.85,39,0,10.04,RU,10/17/2020,north
Huarmey,-10.07,-78.15,62.55,86,6,6.71,PE,10/17/2020,South
Bilibino,68.05,166.44,21.94,95,97,2.35,RU,10/17/2020,north
General Roca,-39.03,-67.58,68.0,34,0,11.41,AR,10/17/2020,South
Rosetown,51.55,-108.0,24.01,66,7,15.01,CA,10/17/2020,north
Batemans Bay,-35.72,150.18,63.0,80,18,3.0,AU,10/17/2020,South
Alihe,50.57,123.72,37.17,60,45,7.14,CN,10/17/2020,north
Minuri,16.54,121.86,80.78,84,95,4.07,PH,10/17/2020,north
Geraldton,-28.77,114.6,78.8,36,0,17.22,AU,10/17/2020,South
Vändra,58.65,25.04,41.0,99,100,1.01,EE,10/17/2020,north
Swellendam,-34.02,20.44,53.6,93,67,5.82,ZA,10/17/2020,South
Whitecourt,54.15,-115.69,17.6,72,20,6.93,CA,10/17/2020,north
Yar-Sale,66.83,70.83,21.54,96,100,13.31,RU,10/17/2020,north
Ban Nahin,18.24,104.21,68.5,90,100,1.92,LA,10/17/2020,north
Ouro Sogui,15.61,-13.32,87.35,27,0,3.51,SN,10/17/2020,north
Zeya,53.75,127.27,30.97,78,0,9.06,RU,10/17/2020,north
Øksfjord,70.24,22.35,30.2,92,72,3.36,NO,10/17/2020,north
Nome,64.5,-165.41,35.6,93,90,25.28,US,10/17/2020,north
Okhotsk,59.38,143.3,28.6,78,67,12.88,RU,10/17/2020,north
Varkala,8.73,76.71,84.2,89,20,6.93,IN,10/17/2020,north
Rocha,-34.48,-54.33,64.0,74,78,9.71,UY,10/17/2020,South
Dawei,14.08,98.2,74.86,86,99,6.42,MM,10/17/2020,north
Santa Cruz de la Sierra,-17.8,-63.17,78.8,69,40,6.93,BO,10/17/2020,South
São Gabriel da Cachoeira,-0.13,-67.09,75.9,86,19,0.92,BR,10/17/2020,South
Chara,56.91,118.26,18.93,86,100,1.34,RU,10/17/2020,north
North Battleford,52.78,-108.28,24.8,58,90,14.99,CA,10/17/2020,north
Ulladulla,-35.35,150.47,69.01,82,90,10.29,AU,10/17/2020,South
Ust'-Ordynskiy,52.8,104.75,44.6,56,85,4.47,RU,10/17/2020,north
Biggar,55.62,-3.52,46.4,93,90,2.24,GB,10/17/2020,north
Chulym,55.1,80.96,34.61,82,65,17.98,RU,10/17/2020,north
Victoria Point,-27.58,153.3,82.0,53,66,4.0,AU,10/17/2020,South
Krasnoarmeysk,51.02,45.7,44.01,40,90,8.99,RU,10/17/2020,north
Itarema,-2.92,-39.92,77.54,84,99,13.44,BR,10/17/2020,South
Sulphur Springs,33.14,-95.6,64.4,88,1,9.17,US,10/17/2020,north
Nishihara,26.18,127.76,82.4,65,20,11.41,JP,10/17/2020,north
Aubenas,44.62,4.39,39.99,77,9,5.75,FR,10/17/2020,north
Lander,42.83,-108.73,42.8,56,1,4.7,US,10/17/2020,north
Asău,46.43,26.4,45.0,80,46,5.75,RO,10/17/2020,north
Takayama,36.13,137.25,66.99,48,75,1.12,JP,10/17/2020,north
Barra da Estiva,-13.63,-41.33,65.53,90,89,6.98,BR,10/17/2020,South
Westport,41.14,-73.36,46.4,70,1,3.36,US,10/17/2020,north
Ürümqi,43.8,87.6,53.6,30,1,4.47,CN,10/17/2020,north
Al Bardīyah,31.76,25.09,76.91,40,76,13.56,LY,10/17/2020,north
Quatre Cocos,-20.21,57.76,75.0,93,75,3.36,MU,10/17/2020,South
Cedar Rapids,42.01,-91.64,59.0,54,20,5.82,US,10/17/2020,north
Saldanha,-33.01,17.94,55.4,87,34,3.36,ZA,10/17/2020,South
Pringsewu,-5.36,104.97,86.67,64,17,2.95,ID,10/17/2020,South
Puerto Nariño,-3.77,-70.38,77.0,100,75,1.92,CO,10/17/2020,South
Romanovo,52.62,81.23,47.97,78,100,17.9,RU,10/17/2020,north
Šibenik,43.73,15.91,51.8,81,0,4.7,HR,10/17/2020,north
São Félix do Xingu,-6.64,-51.99,74.08,77,71,0.6,BR,10/17/2020,South
Lobito,-12.35,13.55,74.41,87,77,7.14,AO,10/17/2020,South
Goundam,16.41,-3.67,88.02,16,89,8.9,ML,10/17/2020,north
Muravlenko,63.79,74.52,26.44,97,100,27.04,RU,10/17/2020,north
Ambilobe,-13.2,49.05,69.94,75,0,3.04,MG,10/17/2020,South
Novokruchininskiy,51.78,113.77,44.6,42,69,6.71,RU,10/17/2020,north
Selty,57.31,52.13,29.55,97,17,5.01,RU,10/17/2020,north
Nantucket,41.28,-70.1,55.0,50,1,3.36,US,10/17/2020,north
Ossora,59.24,163.07,40.26,64,17,8.34,RU,10/17/2020,north
Selma,36.57,-119.61,84.2,28,75,4.7,US,10/17/2020,north
San Juan del Paraná,-27.3,-55.97,74.39,62,97,2.39,PY,10/17/2020,South
Lashio,22.93,97.75,72.48,85,100,0.63,MM,10/17/2020,north
Monterey,36.25,-121.25,71.6,49,1,6.93,US,10/17/2020,north
Sobolevo,54.43,31.9,38.79,94,100,7.85,RU,10/17/2020,north
Ames,42.03,-93.62,51.8,62,90,20.8,US,10/17/2020,north
Simdega,22.62,84.52,81.28,70,67,3.4,IN,10/17/2020,north
Vanavara,60.34,102.28,35.94,97,100,5.06,RU,10/17/2020,north
Verkhnevilyuysk,63.45,120.32,19.09,90,14,3.87,RU,10/17/2020,north
Brønnøysund,65.46,12.2,41.0,65,91,20.8,NO,10/17/2020,north
Ibrā’,22.69,58.53,74.07,18,51,9.19,OM,10/17/2020,north
Akhtubinsk,48.28,46.17,54.46,76,5,9.78,RU,10/17/2020,north
Iwaki,37.05,140.88,66.99,64,95,3.0,JP,10/17/2020,north
Hirtshals,57.59,9.96,43.0,76,96,9.48,DK,10/17/2020,north
Markala,13.7,-6.07,84.69,31,40,4.29,ML,10/17/2020,north
Cuamba,-14.8,36.54,65.14,77,0,3.38,MZ,10/17/2020,South
Ballina,-28.87,153.57,88.0,51,36,17.22,AU,10/17/2020,South
Soyo,-6.13,12.37,77.16,84,100,7.4,AO,10/17/2020,South
Arkadelphia,34.12,-93.05,63.0,59,90,4.7,US,10/17/2020,north
Iquitos,-3.75,-73.25,74.1,96,100,2.19,PE,10/17/2020,South
Pīpār,26.39,73.54,84.56,35,60,10.45,IN,10/17/2020,north
Peru,40.75,-86.07,55.99,35,90,14.99,US,10/17/2020,north
Jalu,29.03,21.55,78.01,23,0,12.64,LY,10/17/2020,north
Acajutla,13.59,-89.83,73.0,96,23,1.01,SV,10/17/2020,north
São Lourenço do Sul,-31.37,-51.98,66.99,87,100,1.01,BR,10/17/2020,South
Bridlington,54.08,-0.19,48.2,100,100,2.24,GB,10/17/2020,north
Rafai,4.95,23.92,68.76,97,100,0.4,CF,10/17/2020,north
Terenos,-20.44,-54.86,77.0,57,20,10.29,BR,10/17/2020,South
Madera,37.17,-119.83,73.0,37,0,5.46,US,10/17/2020,north
Glace Bay,46.2,-59.96,64.4,100,90,18.34,CA,10/17/2020,north
Paso de Carrasco,-34.86,-56.05,66.99,88,90,9.17,UY,10/17/2020,South
Nago,26.59,127.98,82.4,65,1,14.99,JP,10/17/2020,north
Sovetskiy,61.36,63.58,30.11,89,0,11.68,RU,10/17/2020,north
Faya,18.39,42.45,55.4,34,0,5.39,SA,10/17/2020,north
Durango,24.83,-104.83,58.15,54,0,0.63,MX,10/17/2020,north
Cap Malheureux,-19.98,57.61,75.0,71,26,3.0,MU,10/17/2020,South
Ucluelet,48.93,-125.55,48.99,84,100,5.53,CA,10/17/2020,north
Bereket,39.24,55.52,54.18,37,0,11.39,TM,10/17/2020,north
Beringovskiy,63.05,179.32,36.95,77,100,5.91,RU,10/17/2020,north
Teknāf,20.86,92.31,83.84,76,100,0.6,BD,10/17/2020,north
Sioux Lookout,50.1,-91.92,30.2,68,90,8.05,CA,10/17/2020,north
Isla Vista,34.41,-119.86,73.0,77,1,6.69,US,10/17/2020,north
Caçapava,-23.1,-45.71,64.4,72,75,9.17,BR,10/17/2020,South
Neiafu,-18.65,-173.98,82.4,83,75,14.99,TO,10/17/2020,South
Alvarado,18.77,-95.77,81.0,83,75,9.17,MX,10/17/2020,north
Dumas,35.87,-101.97,66.0,21,1,9.17,US,10/17/2020,north
Zhigansk,66.77,123.37,13.42,94,100,6.71,RU,10/17/2020,north
Xapuri,-10.65,-68.5,78.57,59,36,1.14,BR,10/17/2020,South
Ndioum,16.51,-14.65,90.28,21,0,0.67,SN,10/17/2020,north
Lorengau,-2.02,147.27,85.6,66,5,9.82,PG,10/17/2020,South
Mitsamiouli,-11.38,43.28,78.44,75,7,3.27,KM,10/17/2020,South
San Carlos,9.66,-68.58,73.71,89,57,2.35,VE,10/17/2020,north
Chālūs,36.66,51.42,55.4,76,0,5.61,IR,10/17/2020,north
Kidal,18.44,1.41,84.13,15,0,10.56,ML,10/17/2020,north
Dariba,24.95,74.13,78.8,78,75,2.24,IN,10/17/2020,north
Bull Savanna,17.89,-77.59,77.58,85,99,3.31,JM,10/17/2020,north
Araouane,18.9,-3.53,87.21,17,0,10.67,ML,10/17/2020,north
Souris,49.62,-100.26,26.6,63,90,11.41,CA,10/17/2020,north
Baruun-Urt,46.68,113.28,43.43,57,0,14.29,MN,10/17/2020,north
Sitka,57.05,-135.33,44.6,45,75,9.17,US,10/17/2020,north
Bloemhof,-27.65,25.61,65.8,27,28,8.1,ZA,10/17/2020,South
Quelimane,-17.88,36.89,64.49,93,6,2.24,MZ,10/17/2020,South
Gaza,31.5,34.47,70.0,77,0,2.24,PS,10/17/2020,north
Damara,4.96,18.7,75.2,94,2,0.81,CF,10/17/2020,north
High Rock,26.62,-78.28,81.61,76,98,19.33,BS,10/17/2020,north
Mayo,38.89,-76.51,48.2,93,1,7.07,US,10/17/2020,north
Barão de Melgaço,-16.19,-55.97,89.6,46,7,1.12,BR,10/17/2020,South
Lebedinyy,58.52,125.52,15.91,94,100,6.33,RU,10/17/2020,north
Chumikan,54.72,135.31,30.79,92,100,17.85,RU,10/17/2020,north
Umluj,25.02,37.27,82.92,42,0,9.62,SA,10/17/2020,north
Rāichūr,16.2,77.37,78.08,77,79,8.79,IN,10/17/2020,north
Wanning,18.8,110.4,79.77,84,98,21.65,CN,10/17/2020,north
La Unión,-5.4,-80.75,67.46,72,91,8.99,PE,10/17/2020,South
Zambezi,-13.54,23.1,67.37,43,0,8.3,ZM,10/17/2020,South
